# Curated RepBase family -> (repFamily, repClass) for the hg38 reference index.
#
# Provenance: columns 1, 4 and 5 of the RepBase block (lines 5277-6500) of
# examples/inputs/hg38/MASTER_FILELIST.20201203...wmiRs.tsv, the 2020 reference file.
# Same derivation style as refdata/repbase18.05-classes.txt and -drop-exact.txt.
#
# WHY IT EXISTS (-475.42): 354 of these 1,224 families have no genomic instances in the
# modern UCSC rmsk track, so no repClass/repFamily is available for them and column 4 --
# the label reads are counted under -- would otherwise fall back to the family's own name,
# splitting e.g. alpha-satellite variants out of centr instead of pooling them.
#
# CIRCULAR: derived from the reference, so it must be EXCLUDED when measuring how well an
# autogenerated hg38 filelist reproduces that reference (-475.22). It is consulted only
# AFTER the rmsk table, so current RepeatMasker calls always win and post-2020
# reclassification stays visible rather than being frozen.
#
# Mouse uses this file too: 170 mouse RepBase families share an exact family name with a
# human one, and 167 of 168 shared names carry the identical RepBase class token in both
# species, so a shared name is the same consensus family.
family	repFamily	repClass
LTR14C	ERVK	LTR
EULOR8	TcMar	DNA
MER76-INT	ERVL	LTR
LTR12E	ERV1	LTR
UCON40	Unknown	Unknown
LTR1F	ERV1	LTR
LTR1F2	ERV1	LTR
LTR26B	ERV1	LTR
UCON2	DNA	DNA
CHARLIE4	hAT-Charlie	DNA
LTR19C	ERV1	LTR
UCON4	Unknown	Unknown
UCON33	Unknown	Unknown
MER125	DNA	DNA
LTR10G	ERV1	LTR
MER41G	ERV1	LTR
UCON74	hAT	DNA
LTR38C	ERV1	LTR
LTR75_1	ERV1	LTR
MER75B	PiggyBac	DNA
MER92C	ERV1	LTR
UCON28A	Unknown	Unknown
LTR22E	ERVK	LTR
EULOR5A	DNA	DNA
UCON7	DNA	DNA
EULOR9A	DNA	DNA
UCON5	Unknown	Unknown
CHARLIE11	hAT-Charlie	DNA
MER129	LTR	LTR
LTR26E	ERV1	LTR
LTR35	ERV1	LTR
LTR22C0	ERVK	LTR
LTR59	ERV1	LTR
MER88	ERVL	LTR
HSAT4	centr	Satellite
UCON31	Unknown	Unknown
LTR22	ERVK	LTR
LTR27	ERV1	LTR
LTR10B2	ERV1	LTR
MER97D	hAT-Tip100	DNA
LTR4	ERV1	LTR
LTR77	ERV1	LTR
LTR06	ERV1	LTR
UCON84	Unknown	Unknown
UCON39	DNA	DNA
LTR3	ERVK	LTR
EULOR9C	DNA	DNA
EULOR11	DNA	DNA
UCON27	Unknown	Unknown
UCON47	Unknown	Unknown
LTR14	ERVK	LTR
UCON49	L2	LINE
UCON54	Unknown	Unknown
UCON37	Unknown	Unknown
UCON14	DNA	DNA
LTR21A	ERV1	LTR
LTR35A	ERV1	LTR
LTR1B0	ERV1	LTR
UCON6	Unknown	Unknown
MER75A	PiggyBac	DNA
LTR3B	ERVK	LTR
UCON44	Unknown	Unknown
CER	Satellite	Satellite
MER50C	ERV1	LTR
MER134	DNA	DNA
ACRO1	acro	Satellite
LTR22C2	ERVK	LTR
X1_LINE	CR1	LINE
MER57E2	ERV1	LTR
LTR18C	ERVL	LTR
LTR10B	ERV1	LTR
LTR58	ERV1	LTR
UCON48	Unknown	Unknown
EULOR1	DNA	DNA
LTR1C1	ERV1	LTR
UCON38	Unknown	Unknown
LTR1C3	ERV1	LTR
EULOR6D	DNA	DNA
UCON28B	Unknown	Unknown
UCON28C	Unknown	Unknown
X5B_LINE	CR1	LINE
UCON66	Unknown	Unknown
HSATI	Satellite	Satellite
6KBHSAP	acro	Satellite
LTR1C	ERV1	LTR
UCON86	L2	LINE
UCON53	Unknown	Unknown
RICKSHA_A	MULE-MuDR	DNA
UCON41	Unknown	Unknown
EULOR2A	DNA	DNA
MERLIN1_HS	Merlin	DNA
UCON70	Unknown	Unknown
EULOR6B	DNA	DNA
GSATX	centr	Satellite
UCON12	Unknown	Unknown
EULOR2B	DNA	DNA
UCON73	Unknown	Unknown
